,Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Crime type,Last outcome category,Context
49374,fa78a0444605359870278dcbd110ceb7e01253a52d38d3d1049b883d7f1284ff,2024-04,Metropolitan Police Service,Metropolitan Police Service,-0.213587,51.525634000000004,On or near West Row,E01002852,Kensington and Chelsea 001A,Violence and sexual offences,Unable to prosecute suspect,
49375,704cf28773a7d87e77baf7a3e5bb0b73d73ed7a6acffd60660f7f5cc975764b4,2024-04,Metropolitan Police Service,Metropolitan Police Service,-0.21661799999999998,51.526292,On or near Park/Open Space,E01002852,Kensington and Chelsea 001A,Violence and sexual offences,Unable to prosecute suspect,
49376,a3a3d4355d36a63692a558d554b69a233ca7a081ed5245bbf1e46b613bd8b55f,2024-04,Metropolitan Police Service,Metropolitan Police Service,-0.209965,51.52646,On or near Alderson Street,E01002852,Kensington and Chelsea 001A,Violence and sexual offences,Investigation complete; no suspect identified,
49377,60ca226d27550988cce70bb817a64985a095b65ae23a085929645f76275d03a1,2024-04,Metropolitan Police Service,Metropolitan Police Service,-0.20739200000000002,51.525908,On or near Wedlake Street,E01002852,Kensington and Chelsea 001A,Violence and sexual offences,Unable to prosecute suspect,
49407,c3aa827c67f301487ac6198f4441725e6e284b4e8eae0e8250e215b8d3849704,2024-04,Metropolitan Police Service,Metropolitan Police Service,-0.207465,51.522582,On or near Golborne Road,E01002854,Kensington and Chelsea 001C,Violence and sexual offences,Unable to prosecute suspect,
49408,d1c678de22d88a8db2f3db2e54d7077e3f1caa96ea541858b38af2266f7fc5bd,2024-04,Metropolitan Police Service,Metropolitan Police Service,-0.207465,51.522582,On or near Golborne Road,E01002854,Kensington and Chelsea 001C,Violence and sexual offences,Unable to prosecute suspect,
49424,452ea3b2c55f8ff7cfe0d668de3e77c92b72c4e3a7c1e983eefe257580883773,2024-04,Metropolitan Police Service,Metropolitan Police Service,-0.20809499999999997,51.520487,On or near St Josephs Close,E01002855,Kensington and Chelsea 001D,Violence and sexual offences,Status update unavailable,
49425,22d801fbaa3e0ab4b5184fa5384169c15ffad33c5398def564ea7ef34a57562d,2024-04,Metropolitan Police Service,Metropolitan Police Service,-0.20594899999999997,51.521910999999996,On or near St Ervans Road,E01002855,Kensington and Chelsea 001D,Violence and sexual offences,Status update unavailable,
49426,777e25d78058b5775b164a2bbd8f9b9498cb3dc4d4fe9d2a78002c09033b5c5f,2024-04,Metropolitan Police Service,Metropolitan Police Service,-0.207792,51.520869,On or near Bevington Road,E01002855,Kensington and Chelsea 001D,Violence and sexual offences,Status update unavailable,
49427,3f62030eec846ef170b9e1cc0beaebd99c0f313326d88af2d8082e1fe2f5841d,2024-04,Metropolitan Police Service,Metropolitan Police Service,-0.205904,51.521209000000006,On or near Morgan Road,E01002855,Kensington and Chelsea 001D,Violence and sexual offences,Unable to prosecute suspect,
